# targetAltitude=1500.0
time,altitude,velocity,horizontalVelocity,acceleration,accelerationX,accelerationY,accelerationZ,temperature,pressure,humidity,gpsLat,gpsLon,pitch,roll,yaw
1.16,0.0,0.0,0.0,9.923505225101518,9.516951599121093,0.40462008056640625,-2.7820623291015623,20.0,101.3,50.0,0.0,0.0,-2.2595419847328246,-0.9770992366412213,0.8854961832061069
1.18,0.0,0.0,0.0,9.923505225101518,9.516951599121093,0.40462008056640625,-2.7820623291015623,20.0,101.3,50.0,0.0,0.0,-2.2595419847328246,-0.9770992366412213,0.8854961832061069
1.2,0.0,0.0,0.0,10.220065054279162,9.828197814941406,0.411802685546875,-2.7724855224609373,20.0,101.3,50.0,0.0,0.0,-0.5343511450381679,-1.1450381679389312,0.2748091603053435
1.25,0.0,0.0,0.0,10.210570882380242,9.823409411621093,0.41898529052734373,-2.7533319091796873,20.0,101.3,50.0,0.0,0.0,-0.2748091603053435,-1.1297709923664123,0.2748091603053435
1.28,0.0,0.0,0.0,10.274557074880468,9.87608184814453,0.3591302490234375,-2.8107927490234372,20.0,101.3,50.0,0.0,0.0,-0.4580152671755725,-1.2061068702290076,0.015267175572519083
1.32,0.0,0.0,0.0,10.025858314638915,9.634267480468749,0.4285620971679687,-2.741360900878906,20.0,101.3,50.0,0.0,0.0,-1.1145038167938932,-1.1297709923664123,0.3511450381679389
1.35,0.0,0.0,0.0,10.127518585770652,9.744400756835937,0.40462008056640625,-2.729389892578125,20.0,101.3,50.0,0.0,0.0,-0.8244274809160306,-1.099236641221374,0.2748091603053435
1.4,0.0,0.0,0.0,10.267304013287134,9.868899243164062,0.41898529052734373,-2.8012159423828122,20.0,101.3,50.0,0.0,0.0,-0.6412213740458015,-1.1908396946564885,0.12213740458015267
1.44,0.0,0.0,0.0,10.201691026376452,9.80665,0.4213794921875,-2.779668127441406,20.0,101.3,50.0,0.0,0.0,-0.8702290076335878,-1.1755725190839694,0.030534351145038167
1.49,0.0,0.0,0.0,10.130989850662663,9.737218151855469,0.43574470214843747,-2.7629087158203123,20.0,101.3,50.0,0.0,0.0,-0.7480916030534351,-1.1145038167938932,0.15267175572519084
1.53,0.0,0.0,0.0,10.08324957640312,9.672574707031249,0.430956298828125,-2.81558115234375,20.0,101.3,50.0,0.0,0.0,-0.8549618320610687,-1.099236641221374,0.2595419847328244
1.58,0.0,0.0,0.0,10.01773200066007,9.631873278808593,0.41419688720703124,-2.722207287597656,20.0,101.3,50.0,0.0,0.0,-1.1603053435114503,-1.1450381679389312,0.21374045801526717
1.62,0.0,0.0,0.0,10.027206105177491,9.634267480468749,0.3806780639648437,-2.7533319091796873,20.0,101.3,50.0,0.0,0.0,-1.5114503816793894,-1.0229007633587786,0.44274809160305345
1.67,0.0,0.0,0.0,10.04536403429837,9.658209497070311,0.373495458984375,-2.7365724975585937,20.0,101.3,50.0,0.0,0.0,-1.3587786259541985,-1.0687022900763359,0.3053435114503817
1.68,0.0,0.0,0.0,10.04536403429837,9.658209497070311,0.373495458984375,-2.7365724975585937,20.0,101.3,50.0,0.0,0.0,-1.3587786259541985,-1.0687022900763359,0.3053435114503817
1.71,0.0,0.0,0.0,10.092452032559649,9.694122521972655,0.4261678955078125,-2.7748797241210936,20.0,101.3,50.0,0.0,0.0,-1.2671755725190839,-1.1603053435114503,0.32061068702290074
1.75,0.0,0.0,0.0,10.22821415565321,9.832986218261718,0.41898529052734373,-2.7844565307617186,20.0,101.3,50.0,0.0,0.0,-0.9465648854961832,-1.2366412213740459,-0.07633587786259542
1.79,0.0,0.0,0.0,10.138844473280873,9.739612353515625,0.411802685546875,-2.786850732421875,20.0,101.3,50.0,0.0,0.0,-0.7786259541984732,-1.1908396946564885,0.10687022900763359
1.83,0.0,0.0,0.0,10.168629941998244,9.78031378173828,0.4070142822265625,-2.7533319091796873,20.0,101.3,50.0,0.0,0.0,-1.1145038167938932,-1.2366412213740459,0.16793893129770993
1.88,0.0,0.0,0.0,10.127461985355072,9.72285294189453,0.39743747558593745,-2.806004345703125,20.0,101.3,50.0,0.0,0.0,-1.0229007633587786,-1.0381679389312977,0.2595419847328244
1.91,0.0,0.0,0.0,10.146704879171025,9.758765966796874,0.40940848388671874,-2.748543505859375,20.0,101.3,50.0,0.0,0.0,-0.6412213740458015,-1.1145038167938932,0.21374045801526717
1.93,0.0,0.0,0.0,10.146704879171025,9.758765966796874,0.40940848388671874,-2.748543505859375,20.0,101.3,50.0,0.0,0.0,-0.6412213740458015,-1.1145038167938932,0.21374045801526717
1.94,0.0,0.0,0.0,10.152701840896796,9.770736975097655,0.4165910888671875,-2.7269956909179687,20.0,101.3,50.0,0.0,0.0,-0.7633587786259542,-1.1450381679389312,0.10687022900763359
1.98,0.0,0.0,0.0,10.0848960660902,9.689334118652344,0.40222587890625,-2.767697119140625,20.0,101.3,50.0,0.0,0.0,-0.9465648854961832,-1.0687022900763359,0.2900763358778626
2.03,0.0,0.0,0.0,10.110913172920686,9.713276135253906,0.411802685546875,-2.77727392578125,20.0,101.3,50.0,0.0,0.0,-1.1450381679389312,-1.1297709923664123,0.24427480916030533
2.07,0.0,0.0,0.0,10.059823702102737,9.670180505371093,0.430956298828125,-2.73896669921875,20.0,101.3,50.0,0.0,0.0,-1.1450381679389312,-1.083969465648855,0.3511450381679389
2.12,0.0,0.0,0.0,10.059823702102737,9.670180505371093,0.430956298828125,-2.73896669921875,20.0,101.3,50.0,0.0,0.0,-1.1450381679389312,-1.083969465648855,0.3511450381679389
2.12,0.0,0.0,0.0,10.051799552619372,9.658209497070311,0.38786066894531246,-2.7581203125,20.0,101.3,50.0,0.0,0.0,-1.2671755725190839,-1.083969465648855,0.24427480916030533
2.17,0.0,0.0,0.0,10.05874242698141,9.670180505371093,0.3711012573242187,-2.7437551025390623,20.0,101.3,50.0,0.0,0.0,-1.2671755725190839,-1.1297709923664123,0.24427480916030533
2.22,0.0,0.0,0.0,10.095853310758727,9.708487731933593,0.411802685546875,-2.73896669921875,20.0,101.3,50.0,0.0,0.0,-1.1450381679389312,-1.1450381679389312,0.3053435114503817
2.25,0.0,0.0,0.0,10.140062773091142,9.746794958496093,0.36631285400390623,-2.7724855224609373,20.0,101.3,50.0,0.0,0.0,-0.8854961832061069,-1.1755725190839694,0.13740458015267176
2.3,0.0,0.0,0.0,10.194946991333829,9.80665,0.430956298828125,-2.7533319091796873,20.0,101.3,50.0,0.0,0.0,-0.8854961832061069,-1.1755725190839694,0.061068702290076333
2.34,0.0,0.0,0.0,10.138979595883301,9.74200655517578,0.4070142822265625,-2.779668127441406,20.0,101.3,50.0,0.0,0.0,-0.6870229007633588,-1.099236641221374,0.04580152671755725
2.37,0.0,0.0,0.0,10.08643800306462,9.698910925292969,0.3902548706054687,-2.741360900878906,20.0,101.3,50.0,0.0,0.0,-1.1297709923664123,-1.1145038167938932,0.12213740458015267
2.41,0.0,0.0,0.0,10.104998340681913,9.708487731933593,0.411802685546875,-2.7724855224609373,20.0,101.3,50.0,0.0,0.0,-1.0381679389312977,-1.1450381679389312,0.3511450381679389
2.46,0.0,0.0,0.0,10.151379464777387,9.76116016845703,0.45010991210937495,-2.750937707519531,20.0,101.3,50.0,0.0,0.0,-0.8091603053435115,-1.1603053435114503,0.061068702290076333
2.48,0.0,0.0,0.0,10.151379464777387,9.76116016845703,0.45010991210937495,-2.750937707519531,20.0,101.3,50.0,0.0,0.0,-0.8091603053435115,-1.1603053435114503,0.061068702290076333
2.51,0.0,0.0,0.0,10.163062303278174,9.756371765136718,0.4165910888671875,-2.81558115234375,20.0,101.3,50.0,0.0,0.0,-0.916030534351145,-1.1908396946564885,0.16793893129770993
2.54,0.0,0.0,0.0,10.132970270239518,9.756371765136718,0.3806780639648437,-2.710236279296875,20.0,101.3,50.0,0.0,0.0,-1.0687022900763359,-1.2061068702290076,0.12213740458015267
2.59,0.0,0.0,0.0,10.142545277246288,9.756371765136718,0.37828386230468747,-2.7461493041992187,20.0,101.3,50.0,0.0,0.0,-0.9312977099236641,-1.2061068702290076,0.10687022900763359
2.64,0.0,0.0,0.0,10.155896119768926,9.756371765136718,0.41898529052734373,-2.789244934082031,20.0,101.3,50.0,0.0,0.0,-1.099236641221374,-1.1450381679389312,0.015267175572519083
2.67,0.0,0.0,0.0,10.155144000864858,9.76116016845703,0.38307226562499996,-2.7748797241210936,20.0,101.3,50.0,0.0,0.0,-0.9312977099236641,-1.1450381679389312,0.16793893129770993
2.72,0.0,0.0,0.0,10.150054375019108,9.749189160156249,0.4285620971679687,-2.7916391357421872,20.0,101.3,50.0,0.0,0.0,-0.8244274809160306,-1.0687022900763359,0.12213740458015267
2.76,0.0,0.0,0.0,10.150054375019108,9.749189160156249,0.4285620971679687,-2.7916391357421872,20.0,101.3,50.0,0.0,0.0,-0.8244274809160306,-1.0687022900763359,0.12213740458015267
2.77,0.0,0.0,0.0,10.104172086913108,9.701305126953125,0.430956298828125,-2.7916391357421872,20.0,101.3,50.0,0.0,0.0,-1.0534351145038168,-1.1297709923664123,0.1984732824427481
2.82,0.0,0.0,0.0,10.111064259205767,9.706093530273437,0.4381389038085937,-2.798821740722656,20.0,101.3,50.0,0.0,0.0,-0.8702290076335878,-1.1297709923664123,0.13740458015267176
2.87,0.0,0.0,0.0,10.166487884093732,9.765948571777344,0.40462008056640625,-2.7964275390625,20.0,101.3,50.0,0.0,0.0,-0.9770992366412213,-1.2061068702290076,0.22900763358778625
2.91,0.0,0.0,0.0,10.09627005107784,9.70369932861328,0.4070142822265625,-2.7581203125,20.0,101.3,50.0,0.0,0.0,-1.0076335877862594,-1.1450381679389312,0.12213740458015267
2.96,0.0,0.0,0.0,10.106057934245309,9.715670336914062,0.4285620971679687,-2.748543505859375,20.0,101.3,50.0,0.0,0.0,-1.083969465648855,-1.083969465648855,0.183206106870229
3.0,0.0,0.0,0.0,10.135385513098761,9.753977563476562,0.41898529052734373,-2.722207287597656,20.0,101.3,50.0,0.0,0.0,-1.083969465648855,-1.1755725190839694,0.0916030534351145
3.05,0.0,0.0,0.0,10.170512573313157,9.78031378173828,0.4213794921875,-2.7581203125,20.0,101.3,50.0,0.0,0.0,-1.0687022900763359,-1.2671755725190839,0.22900763358778625
