# targetAltitude=1500.0
time,altitude,velocity,horizontalVelocity,acceleration,accelerationX,accelerationY,accelerationZ,temperature,pressure,humidity,gpsLat,gpsLon,pitch,roll,yaw
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.862267517112194,101.30934687783322,56.45505438025114,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.862267517112194,101.30934687783322,56.45505438025114,0.0,0.0,0.0,0.0,0.0
0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.862267517112194,101.30934687783322,56.45505438025114,0.0,0.0,0.0,0.0,0.0
0.83,0.5413188439104399,54.13188439104395,0.0,0.0,0.0,0.0,0.0,29.50162995508872,101.30284608437962,56.58827561288256,0.0,0.0,0.0,0.0,0.0
0.86,0.5117869592627422,-0.984396154923257,0.0,0.0,0.0,0.0,0.0,29.47142375423573,101.30320072927911,56.57716280008631,0.0,0.0,0.0,0.0,0.0
0.89,0.2826257356089623,-7.6387074551259895,0.0,0.0,0.0,0.0,0.0,29.431148835411296,101.30595273339661,56.557880011559135,0.0,0.0,0.0,0.0,0.0
0.92,-0.03216683381380259,-10.493085647425488,0.0,0.0,0.0,0.0,0.0,29.380805212026463,101.30973318564502,56.55724382083943,0.0,0.0,0.0,0.0,0.0
0.92,-0.03216683381380259,-10.493085647425488,0.0,0.0,0.0,0.0,0.0,29.380805212026463,101.30973318564502,56.55724382083943,0.0,0.0,0.0,0.0,0.0
0.95,0.06587686620712518,3.268123334030935,0.0,0.0,0.0,0.0,0.0,29.325427258573473,101.30855573287829,56.54917371840439,0.0,0.0,0.0,0.0,0.0
0.98,0.37821689698739114,10.41133435934219,0.0,0.0,0.0,0.0,0.0,29.295221116393805,101.30480476886805,56.54477356441389,0.0,0.0,0.0,0.0,0.0
1.01,0.06373671613259191,-10.482672695159964,0.0,0.0,0.0,0.0,0.0,29.2448775684461,101.30858143482578,56.53074131284797,0.0,0.0,0.0,0.0,0.0
1.02,0.06373671613259191,0.0,0.0,0.0,0.0,0.0,0.0,29.2448775684461,101.30858143482578,56.53074131284797,0.0,0.0,0.0,0.0,0.0
1.04,0.8598275505293818,39.804541719839456,0.0,0.0,0.0,0.0,0.0,29.204602750204504,101.29902121499438,56.50477842435215,0.0,0.0,0.0,0.0,0.0
1.07,0.19026908724746772,-22.318615442730447,0.0,0.0,0.0,0.0,0.0,29.1794309978839,101.30706186431523,56.50781673721944,0.0,0.0,0.0,0.0,0.0
1.1,0.8725196536369151,22.74168554631489,0.0,0.0,0.0,0.0,0.0,29.139156208699568,101.29886880200233,56.48856119406148,0.0,0.0,0.0,0.0,0.0
1.12,0.8725196536369151,0.0,0.0,0.0,0.0,0.0,0.0,29.139156208699568,101.29886880200233,56.48856119406148,0.0,0.0,0.0,0.0,0.0
1.13,0.43078847855040125,-44.173117508652325,0.0,0.0,0.0,0.0,0.0,29.113984474539755,101.30417343558534,56.491600948528514,0.0,0.0,0.0,0.0,0.0
1.16,0.2878741779428018,-4.763810020253311,0.0,0.0,0.0,0.0,0.0,29.083778402768075,101.30588970401537,56.487210890756266,0.0,0.0,0.0,0.0,0.0
1.19,0.34441260268716745,1.8846141581455202,0.0,0.0,0.0,0.0,0.0,29.06364102717489,101.30521072706685,56.47758678506503,0.0,0.0,0.0,0.0,0.0
1.22,0.1732888800360699,-5.704124088369913,0.0,0.0,0.0,0.0,0.0,29.043503656052053,101.30726578435758,56.44787258300777,0.0,0.0,0.0,0.0,0.0
1.22,0.1732888800360699,-5.704124088369913,0.0,0.0,0.0,0.0,0.0,29.043503656052053,101.30726578435758,56.44787258300777,0.0,0.0,0.0,0.0,0.0
1.25,-0.15440444239644746,-10.923110747750568,0.0,0.0,0.0,0.0,0.0,29.018331948434934,101.31120120992384,56.46430853709191,0.0,0.0,0.0,0.0,0.0
1.28,0.3147321522078239,15.637886486809032,0.0,0.0,0.0,0.0,0.0,28.993160247802734,101.30556716281497,56.46065394503006,0.0,0.0,0.0,0.0,0.0
1.31,0.07261755701801653,-8.070486506326905,0.0,0.0,0.0,0.0,0.0,28.978057230776177,101.30847478116874,56.45846159618152,0.0,0.0,0.0,0.0,0.0
1.32,0.07261755701801653,0.0,0.0,0.0,0.0,0.0,0.0,28.978057230776177,101.30847478116874,56.45846159618152,0.0,0.0,0.0,0.0,0.0
1.34,0.28581055586903603,10.659649942550965,0.0,0.0,0.0,0.0,0.0,28.962954216264187,101.30591448637824,56.46966284386812,0.0,0.0,0.0,0.0,0.0
1.37,0.058166964575477875,-7.588119709785265,0.0,0.0,0.0,0.0,0.0,28.962954216264187,101.30864832430079,56.44287717083308,0.0,0.0,0.0,0.0,0.0
1.4,0.4134962852511692,11.844310689189788,0.0,0.0,0.0,0.0,0.0,28.93778253099881,101.30438109756449,56.45261682322011,0.0,0.0,0.0,0.0,0.0
1.42,0.4134962852511692,0.0,0.0,0.0,0.0,0.0,0.0,28.93778253099881,101.30438109756449,56.45261682322011,0.0,0.0,0.0,0.0,0.0
1.43,0.2141766817997448,-19.931960345142425,0.0,0.0,0.0,0.0,0.0,28.92771385884844,101.30677475191035,56.46454833880911,0.0,0.0,0.0,0.0,0.0
