# targetAltitude=3000.0
# departureAltitude=26.0
# t0=2026-07-23T18:07:20.110000+00:00
time,altitude,altitudeMSL,velocity,horizontalVelocity,acceleration,accelerationX,accelerationY,accelerationZ,temperature,pressure,humidity,gpsLat,gpsLon,gpsAlt,pitch,roll,yaw
0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,101.3,50.0,43.8761795,10.2464715,25.8,0.0,0.0,0.0
7.61,0.0,26.0,0.0,0.0,9.876251907549813,1.2856862915039062,-0.21308394775390624,9.789890588378906,20.0,101.3,50.0,43.8761795,10.2464715,25.8,-0.8091603053435115,-1.3129770992366412,0.3053435114503817
7.62,0.0,26.0,0.0,0.0,10.130419782419041,1.2928688964843749,-0.28012159423828126,10.043675964355469,20.0,101.3,50.0,43.8761795,10.2464715,25.8,-1.0076335877862594,-1.4809160305343512,0.366412213740458
7.63,0.0,26.0,0.0,0.0,9.901741345570112,1.2521674682617188,-0.15562310791015624,9.821015209960937,20.0,101.3,50.0,43.8761795,10.2464715,25.8,-0.7786259541984732,-1.297709923664122,0.44274809160305345
7.64,0.0,26.0,0.0,0.0,10.06622890654361,1.2473790649414063,-0.22026655273437498,9.986215124511718,20.0,101.3,50.0,43.8761795,10.2464715,25.8,-1.297709923664122,-1.3129770992366412,0.366412213740458
7.66,0.0,26.0,0.0,0.0,9.89821950869127,1.2521674682617188,-0.22026655273437498,9.816226806640625,20.0,101.3,50.0,43.8761795,10.2464715,25.8,-0.8396946564885496,-1.2671755725190839,0.33587786259541985
7.66,0.0,26.0,0.0,0.0,9.89821950869127,1.2521674682617188,-0.22026655273437498,9.816226806640625,20.0,101.3,50.0,43.8761795,10.2464715,25.8,-0.8396946564885496,-1.2671755725190839,0.33587786259541985
7.67,0.0,26.0,0.0,0.0,10.043639437732136,1.22583125,-0.17238251953125,9.967061511230469,20.0,101.3,50.0,43.8761795,10.2464715,25.8,-0.8244274809160306,-1.3587786259541985,0.3816793893129771
7.67,0.0,26.0,0.0,0.0,10.043639437732136,1.22583125,-0.17238251953125,9.967061511230469,27.02034993740017,100.95546480364382,66.86142359561727,43.8761795,10.2464715,25.8,-0.8244274809160306,-1.3587786259541985,0.3816793893129771
7.68,0.0,26.0,0.0,0.0,10.021484679911524,1.2425906616210938,-0.2609679809570312,9.94072529296875,27.02034993740017,100.95546480364382,66.86142359561727,43.8761795,10.2464715,25.8,-0.5038167938931297,-1.3435114503816794,0.3816793893129771
7.69,0.0,26.0,0.0,0.0,9.954741846245735,1.3215993164062498,-0.22266075439453123,9.86411083984375,27.02034993740017,100.95546480364382,66.86142359561727,43.8761795,10.2464715,25.8,-0.9923664122137404,-1.3435114503816794,0.3511450381679389
7.7,0.0,26.0,0.0,0.0,10.109035319307786,1.2880804931640624,-0.2059013427734375,10.024522351074218,27.02034993740017,100.95546480364382,66.86142359561727,43.8761795,10.2464715,25.8,-1.099236641221374,-1.450381679389313,0.3511450381679389
